Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
   1  4.0820E-03    0.843206    0.044027  0.1969 -0.2988  0.2231  0.0607  0.1142  0.1067  0.0351  0.0345  0.1015  0.1744  0.0789  0.1400  0.0975  0.1069  0.1075  0.0947  0.0947  0.1055
   2  6.9078E-03    0.684788    0.247010  0.2457 -0.2317  0.3343  0.1059  0.1735  0.1550  0.0670  0.0662  0.1431  0.2393  0.1109  0.1795  0.0714  0.0893  0.0917  0.0657  0.0655  0.0868
   3  2.3248E-03    0.572951    0.288811  0.2723 -0.2092  0.3805  0.1032  0.2508  0.2169  0.0512  0.0501  0.1733  0.2855  0.1066  0.2085  0.0555  0.0825  0.0862  0.0501  0.0499  0.0752
   4  2.5456E-03    0.467995    0.298100  0.2913 -0.1822  0.4025  0.0713  0.3756  0.3090  0.0038  0.0023  0.2584  0.3097  0.1062  0.2157  0.0414  0.0878  0.0938  0.0370  0.0369  0.0715
   5  2.0406E-03    0.370685    0.297746  0.3051 -0.1568  0.4181  0.1879  0.4351  0.3535 -0.0587 -0.0595  0.3357  0.3178  0.1053  0.2179  0.0377  0.0911  0.0974  0.0280  0.0278  0.0770
   6  9.9347E-04    0.304265    0.292973  0.3386 -0.0995  0.4485  0.2784  0.4738  0.3936 -0.1785 -0.1808  0.3842  0.3260  0.1022  0.2223  0.0396  0.0904  0.0988  0.0193  0.0191  0.0824
   7  2.8028E-04    0.263904    0.290109  0.3703 -0.0454  0.4766  0.3136  0.5009  0.4247 -0.2523 -0.2570  0.4150  0.3327  0.1010  0.2320  0.0372  0.0895  0.0985  0.0124  0.0122  0.0845
   8  8.3355E-05    0.243323    0.286500  0.3981  0.0000  0.5002  0.3454  0.5220  0.4498 -0.2697 -0.2718  0.4393  0.3366  0.1008  0.2419  0.0353  0.0885  0.0974  0.0074  0.0072  0.0848
   9  4.7259E-05    0.232828    0.282716  0.4214  0.0371  0.5195  0.3703  0.5389  0.4701 -0.2463 -0.2467  0.4592  0.3386  0.1009  0.2500  0.0344  0.0874  0.0959  0.0043  0.0043  0.0842
  10  1.9616E-05    0.227810    0.280568  0.4366  0.0605  0.5318  0.3859  0.5493  0.4829 -0.1982 -0.1977  0.4718  0.3392  0.1010  0.2552  0.0342  0.0862  0.0945  0.0033  0.0032  0.0833
  11  1.3529E-05    0.225325    0.278576  0.4399  0.0647  0.5340  0.3904  0.5501  0.4847 -0.1575 -0.1535  0.4732  0.3392  0.1013  0.2586  0.0340  0.0849  0.0931  0.0034  0.0033  0.0822
  12  3.7876E-06    0.224134    0.276620  0.4435  0.0693  0.5365  0.3950  0.5516  0.4870 -0.1419 -0.1354  0.4752  0.3394  0.1014  0.2613  0.0339  0.0839  0.0922  0.0033  0.0033  0.0813
  13  1.6525E-04    0.221186    0.271078  0.4368  0.0570  0.5305  0.3867  0.5446  0.4797 -0.0457 -0.2355  0.4672  0.3393  0.1013  0.2631  0.0336  0.0828  0.0911  0.0064  0.0023  0.0801
  14  4.9619E-06    0.219525    0.268616  0.4349  0.0531  0.5286  0.3839  0.5420  0.4772 -0.0749 -0.2304  0.4643  0.3396  0.1016  0.2648  0.0334  0.0821  0.0904  0.0068  0.0021  0.0793
  15  1.4639E-04    0.215659    0.262752  0.4239  0.0350  0.5192  0.3698  0.5314  0.4659 -0.1058 -0.1469  0.4521  0.3394  0.1028  0.2656  0.0326  0.0807  0.0892  0.0079  0.0039  0.0780
  16  2.0499E-05    0.213208    0.261398  0.4209  0.0295  0.5165  0.3665  0.5282  0.4626 -0.1054 -0.1850  0.4486  0.3397  0.1023  0.2666  0.0324  0.0801  0.0887  0.0089  0.0039  0.0774
  17  3.3635E-06    0.211855    0.260282  0.4182  0.0246  0.5141  0.3635  0.5255  0.4598 -0.1109 -0.2080  0.4455  0.3401  0.1020  0.2676  0.0324  0.0796  0.0883  0.0092  0.0039  0.0769
  18  6.7592E-06    0.210389    0.258103  0.4154  0.0196  0.5116  0.3600  0.5226  0.4568 -0.1202 -0.2218  0.4422  0.3403  0.1023  0.2683  0.0322  0.0792  0.0879  0.0091  0.0043  0.0764
  19  2.8935E-07    0.209784    0.256977  0.4136  0.0165  0.5100  0.3579  0.5208  0.4549 -0.1249 -0.2316  0.4402  0.3407  0.1023  0.2690  0.0322  0.0789  0.0876  0.0090  0.0043  0.0760
  20  1.0714E-05    0.208830    0.255428  0.4108  0.0112  0.5076  0.3546  0.5182  0.4521 -0.1335 -0.2097  0.4372  0.3410  0.1019  0.2696  0.0321  0.0786  0.0873  0.0088  0.0050  0.0757
  21  1.6831E-05    0.207769    0.253985  0.4086  0.0068  0.5057  0.3521  0.5161  0.4499 -0.1393 -0.1862  0.4348  0.3413  0.1013  0.2701  0.0320  0.0783  0.0871  0.0086  0.0059  0.0754
